FirstName,Summed_NetWorth,process_ts
Webster,2444043955.59,2024-05-02 08:34:44
Hilton,2153100211.19,2024-05-02 08:34:44
Myra,2337959110.28,2024-05-02 08:34:44
Russ,2443338256.22,2024-05-02 08:34:44
Cristopher,2298259906.90,2024-05-02 08:34:44
Shany,2411421508.29,2024-05-02 08:34:44
Lue,2299095852.09,2024-05-02 08:34:44
Mckenna,2428880974.32,2024-05-02 08:34:44
Chadrick,2106619392.81,2024-05-02 08:34:44
Elisha,2475876782.78,2024-05-02 08:34:44
Emilio,2381700483.21,2024-05-02 08:34:44
Ernesto,2208960972.32,2024-05-02 08:34:44
Cindy,2239584674.10,2024-05-02 08:34:44
Floy,2341922182.35,2024-05-02 08:34:44
Shakira,2410398806.10,2024-05-02 08:34:44
Riley,2140045048.06,2024-05-02 08:34:44
Pat,2183207411.34,2024-05-02 08:34:44
Malika,2470199393.54,2024-05-02 08:34:44
Vernon,2128462390.59,2024-05-02 08:34:44
Devin,2493553784.03,2024-05-02 08:34:44
Wade,2504734246.59,2024-05-02 08:34:44
Christelle,2482945676.09,2024-05-02 08:34:44
Abner,2383123590.19,2024-05-02 08:34:44
Virgil,2275647152.44,2024-05-02 08:34:44
Marquis,2282663194.56,2024-05-02 08:34:44
Junius,2437718470.47,2024-05-02 08:34:44
Minnie,2115128646.53,2024-05-02 08:34:44
Keeley,2385242460.99,2024-05-02 08:34:44
Ivah,2435716566.10,2024-05-02 08:34:44
Rosetta,2341709722.38,2024-05-02 08:34:44
Katlynn,2239620201.85,2024-05-02 08:34:44
Marjolaine,2462881117.67,2024-05-02 08:34:44
Clinton,2230924302.59,2024-05-02 08:34:44
Rowena,2184656220.87,2024-05-02 08:34:44
Betty,2132297629.49,2024-05-02 08:34:44
Francisco,2295497470.09,2024-05-02 08:34:44
Dayana,2478177378.78,2024-05-02 08:34:44
Juvenal,2382717146.98,2024-05-02 08:34:44
Corene,2153328529.75,2024-05-02 08:34:44
Frederic,2361000988.42,2024-05-02 08:34:44
Tony,2322137807.55,2024-05-02 08:34:44
Kenyatta,2484762815.34,2024-05-02 08:34:44
Cheyanne,2108351011.17,2024-05-02 08:34:44
Otho,2085512330.72,2024-05-02 08:34:44
Faye,2438848191.50,2024-05-02 08:34:44
Norwood,2271912405.20,2024-05-02 08:34:44
Tyson,2457514488.60,2024-05-02 08:34:44
Samir,2201192045.08,2024-05-02 08:34:44
Mazie,2495451859.71,2024-05-02 08:34:44
Heath,2336384480.66,2024-05-02 08:34:44
Graciela,2126032996.63,2024-05-02 08:34:44
Loma,2326925526.10,2024-05-02 08:34:44
Molly,2276403849.67,2024-05-02 08:34:44
Perry,2430466915.73,2024-05-02 08:34:44
Wilfredo,2292849438.11,2024-05-02 08:34:44
Jamel,2333345480.93,2024-05-02 08:34:44
Zetta,2257447443.15,2024-05-02 08:34:44
Hortense,2235575204.55,2024-05-02 08:34:44
Pearlie,2436706301.09,2024-05-02 08:34:44
Caleb,2283956953.48,2024-05-02 08:34:44
Gia,2174581664.87,2024-05-02 08:34:44
Abigayle,2462905748.42,2024-05-02 08:34:44
Gwen,2284459005.78,2024-05-02 08:34:44
Bernice,2106394017.33,2024-05-02 08:34:44
Braeden,2134968763.08,2024-05-02 08:34:44
Amari,2258263735.89,2024-05-02 08:34:44
Crystal,2234094782.06,2024-05-02 08:34:44
Colt,2206202360.98,2024-05-02 08:34:44
Roxane,2235069955.00,2024-05-02 08:34:44
Maryjane,2310855357.74,2024-05-02 08:34:44
Roger,2261292943.20,2024-05-02 08:34:44
Kaylah,2320244798.48,2024-05-02 08:34:44
Ashton,2367607877.20,2024-05-02 08:34:44
Wilford,2395282397.46,2024-05-02 08:34:44
Neva,2261219768.88,2024-05-02 08:34:44
Liana,2334354136.18,2024-05-02 08:34:44
Hailey,2121907518.87,2024-05-02 08:34:44
